project_id,state,district,constituency,MP_name,project_name,project_category,sanctioned_amount,released_amount,expenditure,project_status,sanction_date,start_date,completion_date,implementing_agency,contractor,latitude,longitude,beneficiary_count,_demo_injected_issue
MPLAD-2026-00709,Gujarat,Surat,Surat Constituency 4,Ramesh Naidu,Installation of Drinking Water Supply System,Drinking Water,4873000.0,3728170.19,1702148.49,Completed,2022-03-19,2022-06-01,2022-11-06,Urban Local Body,Bharat Construction Co,23.048156,72.692267,3518.0,NORMAL
MPLAD-2026-00306,Karnataka,Bengaluru Urban,Bengaluru Urban Constituency 6,Priya Singh,Improvement of Village Road,Roads,891000.0,729714.94,474108.09,Completed,2024-10-03,2024-12-07,2025-05-19,State Public Works Department,Saksham Projects,13.266065,77.569587,12173.0,NORMAL
MPLAD-2026-00735,Maharashtra,Aurangabad,Aurangabad Constituency 2,Kavita Joshi,Installation of Street Lighting,Electricity,3112000.0,2360517.0,1829899.13,Delayed,2024-09-07,2024-11-17,2025-01-26,Municipal Corporation,Unity Infrastructure,18.537853,73.077771,7766.0,NORMAL
MPLAD-2026-DUP-0025,Maharashtra,Nashik,Nashik Constituency 2,Amit Kumar,Rural Drinking Water Facility - Phase II,Drinking Water,7539406.05,6426423.71,5144115.3,Delayed,2024-09-25,2024-11-13,2025-02-07,State Water Resources Department,Eastern Infrastructure,19.113098,72.221802,9286.0,SIMILAR_DUPLICATE
MPLAD-2026-00050,Karnataka,Belagavi,Belagavi Constituency 2,Priya Singh,Rural Drinking Water Facility,Drinking Water,3228000.0,3059127.85,1721810.44,Delayed,2023-12-07,2024-02-08,2024-08-01,District Administration,Sunrise Engineering,12.973901,77.489036,5103.0,NORMAL
MPLAD-2026-00897,Maharashtra,Aurangabad,Aurangabad Constituency 1,Vijay Kumar,Construction of Citizen Service Centre,Public Facilities,3959000.0,3128196.04,2281202.18,Completed,2024-01-26,2024-03-22,2024-08-31,Municipal Corporation,Metro Civil Contractors,19.00394,73.179803,13939.0,NORMAL
MPLAD-2026-00003,Uttar Pradesh,Lucknow,Lucknow Constituency 2,Meena Patel,Pipeline Extension for Drinking Water,Drinking Water,4314000.0,3886618.52,3317478.18,Completed,2025-02-03,2025-04-17,2025-10-31,District Administration,Dakshin Projects,26.741331,80.840838,1391.0,NORMAL
MPLAD-2026-00545,Gujarat,Rajkot,Rajkot Constituency 1,Meena Patel,Construction of Internal Roads,Roads,2446000.0,2443007.61,1434088.95,Completed,2024-10-24,2025-01-13,2025-07-11,State Public Works Department,Saksham Projects,22.905931,72.483043,14580.0,NORMAL
MPLAD-2026-00351,Odisha,Cuttack,Cuttack Constituency 4,Rajesh Sharma,Drainage Improvement Works,Sanitation,1955000.0,1917922.49,948982.92,Completed,2024-10-07,2024-12-13,2025-05-30,Urban Local Body,Apex Civil Works,20.060875,86.296554,5744.0,NORMAL
MPLAD-2026-00905,Uttar Pradesh,Lucknow,Lucknow Constituency 4,Ramesh Naidu,Village Community Centre,Community Infrastructure,2594000.0,2317907.06,1104716.19,Completed,2024-06-21,2024-08-31,2025-03-06,Municipal Corporation,Bharat Construction Co,17.387721,,462.0,GEOGRAPHIC_CLUSTER
MPLAD-2026-00537,Rajasthan,Kota,Kota Constituency 1,Amit Kumar,Construction of Citizen Service Centre,Public Facilities,3439000.0,2723156.39,1307353.39,Completed,2023-09-15,2023-11-03,2024-06-03,District Administration,Greenfield Contractors,26.94697,75.209953,5857.0,NORMAL
MPLAD-2026-00345,Maharashtra,Pune,Pune Constituency 5,Priya Singh,Healthcare Facility Improvement,Healthcare,598000.0,571380.02,454166.89,Completed,2022-07-20,2022-10-13,2023-04-21,Municipal Corporation,Dakshin Projects,19.395932,73.077618,1644.0,NORMAL
MPLAD-2026-DUP-0006,Odisha,Cuttack,Cuttack Constituency 4,Rajesh Sharma,Road Widening and Improvement - Phase II,Roads,2520396.45,2214628.55,1102476.44,Completed,2023-10-16,2023-12-20,2024-03-29,Rural Development Department,Unity Infrastructure,19.758834,85.888824,3831.0,SIMILAR_DUPLICATE
MPLAD-2026-00482,Telangana,Karimnagar,Karimnagar Constituency 8,Ramesh Naidu,Solar Lighting Installation,Electricity,3728000.0,3613141.46,3107737.6,Completed,2021-11-25,2022-01-12,2022-07-20,Urban Local Body,Krishna Builders,17.473435,78.805752,7526.0,NORMAL
MPLAD-2026-00576,West Bengal,Murshidabad,Murshidabad Constituency 6,Ramesh Naidu,Electricity Infrastructure Improvement,Electricity,10350999.64,8290759.16,8009229.86,Completed,2021-10-07,2021-12-02,2022-07-21,State Water Resources Department,Unity Infrastructure,22.126473,87.394874,1217.0,EXTREME_COST
MPLAD-2026-00034,Gujarat,Rajkot,Rajkot Constituency 3,Ramesh Naidu,Public Infrastructure Improvement,Public Facilities,1666000.0,1352475.35,1039824.59,Completed,2025-04-18,2025-07-08,2026-01-08,State Water Resources Department,Sunrise Engineering,22.990095,73.02299,1369.0,NORMAL
MPLAD-2026-00032,Odisha,Khordha,Khordha Constituency 8,Meena Patel,Canal Improvement Works,Irrigation,13616856.87,11142400.09,9718097.86,Completed,2021-10-30,2021-11-14,2022-02-09,Municipal Corporation,Apex Civil Works,19.798249,85.286207,13274.0,EXTREME_COST
MPLAD-2026-00232,Karnataka,Belagavi,Belagavi Constituency 6,Naveen Singh,Installation of Drinking Water Supply System,Drinking Water,2246000.0,1907614.83,1169488.84,Delayed,2022-07-20,2022-10-09,2023-04-04,District Administration,Shree Infrastructure Pvt Ltd,12.656724,77.690891,1943.0,NORMAL
MPLAD-2026-00964,Uttar Pradesh,Varanasi,Varanasi Constituency 3,Arun Rao,Electricity Infrastructure Improvement,Electricity,3172000.0,2980460.02,1501771.65,Completed,2022-07-15,2022-09-26,2023-02-03,State Water Resources Department,Unity Infrastructure,25.708071,80.817498,4765.0,CONTRACTOR_CONCENTRATION
MPLAD-2026-00193,Telangana,Hyderabad,Hyderabad Constituency 6,Vijay Kumar,Village Sanitation Infrastructure,Sanitation,2222000.0,2118325.88,1879481.77,Completed,2024-08-06,2024-09-08,2024-11-24,Municipal Corporation,Shree Infrastructure Pvt Ltd,17.04339,78.554377,7310.0,NORMAL
MPLAD-2026-00334,Telangana,Nalgonda,Nalgonda Constituency 1,Amit Kumar,Village Community Centre,Community Infrastructure,3656000.0,3465400.15,1777451.31,Completed,2022-04-22,2022-06-16,2023-01-04,Urban Local Body,Metro Civil Contractors,17.27026,79.163497,13297.0,NORMAL
MPLAD-2026-00004,Gujarat,Vadodara,Vadodara Constituency 6,Kavita Joshi,Construction of Primary Health Centre,Healthcare,706000.0,569724.05,26971.81,Ongoing,2021-06-13,2021-07-27,2021-10-20,Urban Local Body,Prime Development Works,23.733146,72.916746,2764.0,UNDER_UTILIZATION
MPLAD-2026-00205,Telangana,Karimnagar,Karimnagar Constituency 1,Vijay Kumar,Healthcare Facility Improvement,Healthcare,3037000.0,2508493.14,1909863.23,Delayed,2023-08-09,2023-10-10,2024-05-08,Zilla Parishad,Metro Civil Contractors,17.439133,78.718197,12100.0,NORMAL
MPLAD-2026-00515,Telangana,Warangal,Warangal Constituency 6,Suresh Reddy,Drainage Improvement Works,Sanitation,3929000.0,3436294.56,3041967.24,Completed,2021-11-12,2022-01-12,2022-06-06,Zilla Parishad,Bharat Construction Co,17.661083,78.026443,7294.0,NORMAL
MPLAD-2026-00800,Telangana,Warangal,Warangal Constituency 3,Suresh Reddy,Construction of Public Facility,Public Facilities,1955000.0,1904147.2,906554.19,Completed,2023-11-14,2024-01-24,2024-07-10,Rural Development Department,Unity Infrastructure,17.394357,78.159099,8298.0,NORMAL
MPLAD-2026-00307,Telangana,Hyderabad,Hyderabad Constituency 5,Ramesh Naidu,Construction of Indoor Sports Hall,Sports Infrastructure,2064000.0,1968805.68,1108728.5,Completed,2022-02-03,2022-04-17,2022-09-27,Municipal Corporation,Sunrise Engineering,17.510986,77.98023,6770.0,NORMAL
MPLAD-2026-00110,Gujarat,Vadodara,Vadodara Constituency 2,Ramesh Naidu,Installation of Street Lighting,Electricity,2438000.0,2435012.33,133088.89,Ongoing,2022-08-25,2022-10-20,2023-01-14,Rural Development Department,Greenfield Contractors,22.804086,72.608243,-51.0,UNDER_UTILIZATION
MPLAD-2026-00431,Rajasthan,Jodhpur,Jodhpur Constituency 6,Manoj Yadav,Construction of Public Facility,Public Facilities,4372000.0,3356273.56,3009628.3,Completed,2022-11-13,2023-02-03,2023-04-12,Rural Development Department,Metro Civil Contractors,27.003715,75.105215,11536.0,NORMAL
MPLAD-2026-00078,Uttar Pradesh,Lucknow,Lucknow Constituency 8,Deepak Gupta,Construction of Primary Health Centre,Healthcare,3773000.0,3686930.03,2873783.28,Delayed,2022-09-10,2022-11-22,2023-07-04,State Water Resources Department,Shree Infrastructure Pvt Ltd,26.978583,80.624742,13982.0,NORMAL
MPLAD-2026-00085,Andhra Pradesh,Guntur,Guntur Constituency 4,Meena Patel,Village Electrification Works,Electricity,2034000.0,1713672.0,1389441.8,Completed,2025-05-10,2025-08-05,2026-03-05,Municipal Corporation,Shree Infrastructure Pvt Ltd,16.389575,80.260819,2679.0,NORMAL
MPLAD-2026-00287,Rajasthan,Udaipur,Udaipur Constituency 6,Suresh Reddy,Community Infrastructure Development,Community Infrastructure,2583000.0,2168907.39,180155.38,Ongoing,2024-02-04,2024-03-03,2024-06-15,Rural Development Department,Bharat Construction Co,27.059517,75.688705,14169.0,UNDER_UTILIZATION
MPLAD-2026-00083,Odisha,Puri,Puri Constituency 6,Rajesh Sharma,Canal Improvement Works,Irrigation,1196000.0,1041174.63,909609.12,Completed,2022-12-19,2023-03-15,2023-08-16,Zilla Parishad,Sunrise Engineering,20.729619,86.010251,13325.0,NORMAL
MPLAD-2026-DUP-0009,Telangana,Warangal,Warangal Constituency 4,Arun Rao,Healthcare Facility Improvement - Phase II,Healthcare,1816588.52,1732104.97,1084608.87,Delayed,2022-01-25,2022-02-24,2022-08-25,Zilla Parishad,Reliable Infra Solutions,17.382308,78.485061,6598.0,SIMILAR_DUPLICATE
MPLAD-2026-00790,Gujarat,Ahmedabad,Ahmedabad Constituency 8,Priya Singh,Construction of Minor Irrigation Facility,Irrigation,2288000.0,1848770.09,1173804.12,Completed,2024-02-28,2024-03-27,2024-11-06,District Rural Development Agency,National Projects Ltd,22.691934,72.206786,1662.0,NORMAL
MPLAD-2026-00895,Odisha,Ganjam,Ganjam Constituency 7,Ramesh Naidu,Construction of Internal Roads,Roads,3412000.0,2934529.06,1996569.89,Completed,2023-12-07,2023-12-26,2024-06-05,District Administration,Greenfield Contractors,20.439729,86.427703,11062.0,NORMAL
MPLAD-2026-00399,West Bengal,Kolkata,Kolkata Constituency 5,Kavita Joshi,Construction of Internal Roads,Roads,2908000.0,2188839.53,1481882.42,Delayed,2023-08-19,2023-11-15,2025-07-02,Rural Development Department,Metro Civil Contractors,22.5548,88.670575,4838.0,MAJOR_DELAY
MPLAD-2026-00324,Odisha,Ganjam,Ganjam Constituency 7,Deepak Gupta,Construction of Indoor Sports Hall,Sports Infrastructure,4590000.0,3995195.31,2251549.14,Completed,2021-07-03,2021-09-12,2022-01-28,Municipal Corporation,Sunrise Engineering,19.082501,85.800067,5073.0,NORMAL
MPLAD-2026-00520,Tamil Nadu,Salem,Salem Constituency 6,Naveen Singh,Electricity Infrastructure Improvement,Electricity,4464000.0,3442057.51,2473864.37,Delayed,2023-03-10,2023-04-10,2023-10-20,Zilla Parishad,Sunrise Engineering,13.183703,80.741894,1620.0,NORMAL
MPLAD-2026-00917,Telangana,Nalgonda,Nalgonda Constituency 8,Kavita Joshi,Solar Lighting Installation,Electricity,2739000.0,2592709.99,1539024.79,Completed,2024-11-01,2024-11-23,2025-06-06,District Rural Development Agency,Apex Civil Works,17.813911,78.615906,5131.0,NORMAL
MPLAD-2026-00923,Tamil Nadu,Chennai,Chennai Constituency 2,Rajesh Sharma,Renovation of Government School,Education,799000.0,706503.71,377049.28,Completed,2025-02-24,2025-04-12,2025-12-02,District Administration,Unity Infrastructure,13.154635,79.808246,4766.0,CONTRACTOR_CONCENTRATION
MPLAD-2026-00006,Uttar Pradesh,Lucknow,Lucknow Constituency 4,Rohit Mehta,Construction of Internal Roads,Roads,2305000.0,1766891.18,1601807.11,Completed,2024-03-07,2024-05-01,2024-08-23,State Water Resources Department,Krishna Builders,26.638162,80.736622,2440.0,NORMAL
MPLAD-2026-00732,Karnataka,Bengaluru Urban,Bengaluru Urban Constituency 2,Priya Singh,Construction of Primary Health Centre,Healthcare,2632000.0,2521934.01,1694507.48,Completed,2021-04-24,2021-05-24,2021-10-07,Zilla Parishad,National Projects Ltd,17.387845,78.488552,13890.0,GEOGRAPHIC_CLUSTER
MPLAD-2026-00466,Gujarat,Surat,Surat Constituency 1,Meena Patel,Drainage Improvement Works,Sanitation,3160000.0,2668460.19,2103397.45,Completed,2025-04-19,2025-06-09,2025-10-29,State Public Works Department,Vardhan Construction,22.77266,73.417921,2200.0,NORMAL
MPLAD-2026-00098,Tamil Nadu,Coimbatore,Coimbatore Constituency 3,Rajesh Sharma,Construction of Community Toilet,Sanitation,2785000.0,2464565.39,336596.07,Ongoing,2023-12-15,2024-01-03,2024-08-19,Municipal Corporation,Metro Civil Contractors,13.160631,80.444093,9885.0,UNDER_UTILIZATION
MPLAD-2026-00267,Odisha,Ganjam,Ganjam Constituency 3,Ramesh Naidu,Canal Improvement Works,Irrigation,3787000.0,2961795.45,1906515.99,Delayed,2024-05-14,2024-07-09,2025-01-14,Zilla Parishad,Krishna Builders,20.266364,85.279543,4582.0,NORMAL
MPLAD-2026-00358,Maharashtra,Nagpur,Nagpur Constituency 3,Vijay Kumar,Electricity Infrastructure Improvement,Electricity,895000.0,756768.84,704024.21,Completed,2024-06-08,2024-07-22,2025-01-04,District Administration,National Projects Ltd,19.059064,73.374186,5218.0,NORMAL
MPLAD-2026-00869,Uttar Pradesh,Varanasi,Varanasi Constituency 4,Sunita Das,Village Irrigation Infrastructure,Irrigation,4520000.0,4197842.04,3099804.27,Completed,2022-01-22,2022-02-24,2022-06-16,State Public Works Department,Bharat Construction Co,26.372543,80.465689,8839.0,NORMAL
MPLAD-2026-00799,Odisha,Khordha,Khordha Constituency 3,Sunita Das,Sports Infrastructure Improvement,Sports Infrastructure,1986000.0,1872787.42,1397258.58,Completed,2022-07-22,2022-10-05,2023-01-26,Zilla Parishad,Metro Civil Contractors,17.383611,78.485881,3646.0,GEOGRAPHIC_CLUSTER
MPLAD-2026-00381,West Bengal,Darjeeling,Darjeeling Constituency 4,Deepak Gupta,Village Sanitation Infrastructure,Sanitation,1005000.0,950967.18,797761.8,Completed,2021-07-09,2021-09-18,2022-03-26,Municipal Corporation,Unity Infrastructure,22.313563,88.418804,3216.0,CONTRACTOR_CONCENTRATION
MPLAD-2026-00632,Telangana,Hyderabad,Hyderabad Constituency 6,Naveen Singh,Renovation of Government School,Education,2095000.0,1624325.66,1130568.12,Delayed,2021-06-23,2021-09-13,2022-03-23,District Rural Development Agency,,17.62744,78.072397,8085.0,DATA_QUALITY
MPLAD-2026-00382,Uttar Pradesh,Varanasi,Varanasi Constituency 5,Sunita Das,Village Community Centre,Community Infrastructure,3963000.0,3069592.74,2888906.5,Completed,2023-11-24,2023-12-25,2024-04-15,District Administration,Prime Development Works,27.998738,80.902973,11792.0,NORMAL
MPLAD-2026-00491,Telangana,Nalgonda,Nalgonda Constituency 7,Suresh Reddy,Construction of Community Toilet,Sanitation,9486391.77,7762681.44,8149580.05,Completed,2022-07-30,2022-09-29,2023-03-18,Rural Development Department,Unity Infrastructure,17.73861,78.678156,10142.0,EXTREME_COST
MPLAD-2026-00119,Gujarat,Vadodara,Vadodara Constituency 3,Manoj Yadav,Construction of Community Toilet,Sanitation,2762000.0,2187943.09,2014665.64,Completed,2021-11-12,2021-12-18,2022-08-03,Urban Local Body,Dakshin Projects,22.111186,72.655304,13904.0,NORMAL
MPLAD-2026-00901,Karnataka,Dharwad,Dharwad Constituency 2,Rohit Mehta,Construction of Community Toilet,Sanitation,1957000.0,1577745.56,1361700.15,Completed,2022-05-19,2022-08-12,2022-11-19,State Public Works Department,Sunrise Engineering,13.827136,77.567303,8201.0,NORMAL
MPLAD-2026-00251,Tamil Nadu,Coimbatore,Coimbatore Constituency 3,Priya Singh,Construction of Approach Road,Roads,2771000.0,2163570.46,1742875.1,Delayed,2025-06-11,2025-06-30,2025-12-03,State Public Works Department,Unity Infrastructure,13.49948,81.129937,9830.0,CONTRACTOR_CONCENTRATION
MPLAD-2026-00524,Rajasthan,Jaipur,Jaipur Constituency 2,Amit Kumar,Electricity Infrastructure Improvement,Electricity,2643000.0,2277052.92,1445125.05,Completed,2023-12-14,2024-02-18,2024-09-15,District Administration,Metro Civil Contractors,27.205945,75.077924,14387.0,NORMAL
MPLAD-2026-00010,Gujarat,Surat,Surat Constituency 3,Vijay Kumar,Construction of Additional Classrooms,Education,3195000.0,2786523.81,1409796.75,Completed,2023-01-14,2023-03-09,2023-07-08,District Rural Development Agency,Dakshin Projects,22.613889,71.935863,1503.0,NORMAL
MPLAD-2026-00197,Rajasthan,Kota,Kota Constituency 6,Deepak Gupta,Renovation of Government School,Education,4795000.0,4519727.5,2071593.15,Completed,2021-05-19,2021-06-04,2021-10-09,State Public Works Department,Dakshin Projects,26.318295,76.611456,13031.0,NORMAL
MPLAD-2026-00604,Rajasthan,Jaipur,Jaipur Constituency 3,Naveen Singh,Community Infrastructure Development,Community Infrastructure,3948000.0,3178511.15,1839767.62,Completed,2023-09-03,2023-10-03,2024-05-20,State Water Resources Department,Saksham Projects,26.596504,75.488995,1581.0,NORMAL
MPLAD-2026-00082,Telangana,Nalgonda,Nalgonda Constituency 3,Deepak Gupta,Construction of Approach Road,Roads,4805000.0,4278472.16,3358629.02,Delayed,2023-04-22,2023-06-21,2024-02-06,State Public Works Department,Krishna Builders,17.906368,78.117393,4812.0,NORMAL
MPLAD-2026-00784,Tamil Nadu,Chennai,Chennai Constituency 6,Suresh Reddy,Construction of Minor Irrigation Facility,Irrigation,4776000.0,3607214.53,2307153.0,Completed,2025-05-18,2025-07-14,2025-12-11,District Rural Development Agency,Saksham Projects,13.112846,80.502873,10830.0,NORMAL
MPLAD-2026-00588,Maharashtra,Aurangabad,Aurangabad Constituency 4,Anil Verma,Construction of Public Facility,Public Facilities,4780000.0,4014700.41,2564826.46,Completed,2023-08-23,2023-11-02,2024-04-18,District Administration,Reliable Infra Solutions,18.736716,72.751396,12557.0,NORMAL
MPLAD-2026-00798,Rajasthan,Udaipur,Udaipur Constituency 6,Kavita Joshi,Solar Lighting Installation,Electricity,3025000.0,2753959.51,1518241.51,Completed,2024-04-28,2024-06-01,2024-08-26,Municipal Corporation,Sunrise Engineering,25.84908,75.332921,4407.0,NORMAL
MPLAD-2026-00240,Rajasthan,Jaipur,Jaipur Constituency 1,Arun Rao,School Building Improvement,Education,3205000.0,2410531.56,1388936.76,Delayed,2022-09-18,2022-11-07,2023-04-24,Urban Local Body,Eastern Infrastructure,28.297896,76.291109,7620.0,NORMAL
MPLAD-2026-00291,West Bengal,Howrah,Howrah Constituency 2,Anil Verma,Village Community Centre,Community Infrastructure,693000.0,555573.61,502162.46,Delayed,2023-01-10,2023-03-15,2023-09-11,State Public Works Department,Dakshin Projects,22.724923,88.17702,753.0,NORMAL
MPLAD-2026-00212,Telangana,Warangal,Warangal Constituency 2,Amit Kumar,Improvement of Village Road,Roads,1088000.0,1040039.17,661589.58,Completed,2024-07-14,2024-08-08,2025-03-05,District Rural Development Agency,Dakshin Projects,17.272966,78.923907,457.0,NORMAL
MPLAD-2026-00718,Odisha,Khordha,Khordha Constituency 8,Rohit Mehta,Construction of Community Health Facility,Healthcare,992000.0,947093.76,694819.58,Completed,2022-08-19,2022-10-02,2023-04-14,Municipal Corporation,Metro Civil Contractors,20.220895,85.951661,12801.0,NORMAL
MPLAD-2026-00360,Karnataka,Mysuru,Mysuru Constituency 6,Rajesh Sharma,Construction of Sports Ground,Sports Infrastructure,1329000.0,1275681.35,666876.99,Delayed,2021-03-02,2021-04-26,2021-10-08,State Water Resources Department,Sunrise Engineering,12.807975,77.568974,12316.0,NORMAL
MPLAD-2026-00450,Maharashtra,Pune,Pune Constituency 4,Sunita Das,Construction of Additional Classrooms,Education,3194000.0,2528958.03,1545960.72,Completed,2022-10-10,2022-12-02,2023-04-10,Urban Local Body,Unity Infrastructure,19.618929,72.510079,1670.0,CONTRACTOR_CONCENTRATION
MPLAD-2026-00228,Odisha,Ganjam,Ganjam Constituency 4,Rajesh Sharma,Improvement of Village Road,Roads,1269000.0,1044327.19,512731.28,Completed,2021-08-25,2021-10-18,2022-03-28,Rural Development Department,Dakshin Projects,20.057484,85.467707,1593.0,NORMAL
MPLAD-2026-00951,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar Constituency 1,Manoj Yadav,Waste Management Facility,Sanitation,3894000.0,2983440.02,1436202.63,Completed,2022-12-06,2022-12-28,2023-08-03,District Rural Development Agency,Unity Infrastructure,27.160329,80.795981,11143.0,CONTRACTOR_CONCENTRATION
MPLAD-2026-00947,Odisha,Khordha,Khordha Constituency 3,Kavita Joshi,Construction of Citizen Service Centre,Public Facilities,4038000.0,3135338.15,1602123.93,Delayed,2024-12-13,2025-01-14,2025-05-05,District Rural Development Agency,Dakshin Projects,20.099726,85.775176,3140.0,NORMAL
MPLAD-2026-00797,West Bengal,Darjeeling,Darjeeling Constituency 2,Amit Kumar,Water Conservation Structure,Irrigation,3175000.0,2434250.28,1869922.33,Completed,2022-04-08,2022-06-06,2023-01-12,Rural Development Department,Apex Civil Works,22.769052,88.770671,4756.0,NORMAL
MPLAD-2026-00502,Telangana,Hyderabad,Hyderabad Constituency 2,Deepak Gupta,Village Electrification Works,Electricity,925000.0,846572.78,621586.84,Completed,2022-06-03,2022-08-02,2022-12-05,State Public Works Department,Metro Civil Contractors,17.411834,78.195578,1966.0,NORMAL
MPLAD-2026-00465,Andhra Pradesh,Guntur,Guntur Constituency 3,Deepak Gupta,Village Sanitation Infrastructure,Sanitation,2712000.0,2125183.03,1716853.75,Completed,2023-09-26,2023-10-25,2024-05-17,State Water Resources Department,Greenfield Contractors,17.204486,80.570412,7897.0,NORMAL
MPLAD-2026-00363,Tamil Nadu,Chennai,Chennai Constituency 7,Sunita Das,Construction of Internal Roads,Roads,4776000.0,3847729.73,3023044.06,Completed,2022-02-20,2022-04-02,2022-06-17,State Water Resources Department,Prime Development Works,13.159589,80.187907,11369.0,NORMAL
MPLAD-2026-00469,West Bengal,Kolkata,Kolkata Constituency 6,Meena Patel,Water Conservation Structure,Irrigation,1951000.0,1510915.7,1048846.42,Completed,2024-11-15,2024-12-26,2025-05-21,Urban Local Body,Metro Civil Contractors,22.113045,88.68266,2830.0,NORMAL
MPLAD-2026-00936,Rajasthan,Jodhpur,Jodhpur Constituency 3,Meena Patel,Community Infrastructure Development,Community Infrastructure,1606000.0,1500993.97,1247791.5,Delayed,2023-09-24,2023-11-18,2024-06-21,State Public Works Department,Vardhan Construction,26.414833,75.690586,11178.0,NORMAL
MPLAD-2026-00429,Gujarat,Ahmedabad,Ahmedabad Constituency 7,Deepak Gupta,Village Electrification Works,Electricity,4144000.0,3829733.03,1911035.26,Completed,2023-10-12,2023-11-26,2024-02-15,District Administration,Shree Infrastructure Pvt Ltd,22.64794,,3671.0,DATA_QUALITY
MPLAD-2026-00008,Telangana,Warangal,Warangal Constituency 3,Sunita Das,Installation of Street Lighting,Electricity,2231000.0,2005606.77,1371885.06,Completed,2022-05-30,2022-08-23,2022-10-24,Rural Development Department,Bharat Construction Co,16.608787,78.233671,12692.0,NORMAL
MPLAD-2026-00156,Odisha,Cuttack,Cuttack Constituency 8,Deepak Gupta,Construction of Public Utility Building,Community Infrastructure,3935000.0,3431931.01,2785969.43,Completed,2025-02-23,2025-05-11,2025-11-04,Urban Local Body,Metro Civil Contractors,20.198143,86.31895,,DATA_QUALITY
MPLAD-2026-00542,Tamil Nadu,Chennai,Chennai Constituency 5,Manoj Yadav,Village Community Centre,Community Infrastructure,905000.0,817541.41,491824.14,Delayed,2025-01-10,2025-02-22,2025-06-21,State Public Works Department,Unity Infrastructure,12.937964,81.205237,4699.0,NORMAL
MPLAD-2026-00441,Maharashtra,Aurangabad,Aurangabad Constituency 5,Sunita Das,Canal Improvement Works,Irrigation,4098000.0,3819893.11,3480480.52,Delayed,2022-11-25,2022-12-24,2023-06-24,District Rural Development Agency,National Projects Ltd,20.21312,72.638809,5147.0,NORMAL
MPLAD-2026-00483,Andhra Pradesh,Guntur,Guntur Constituency 3,Manoj Yadav,Renovation of Public Building,Public Facilities,514000.0,411209.68,247866.41,Completed,2024-03-25,2024-04-19,2024-07-16,Municipal Corporation,Saksham Projects,16.459619,81.248053,13976.0,NORMAL
MPLAD-2026-00423,Karnataka,Mysuru,Mysuru Constituency 1,Amit Kumar,Construction of Public Utility Building,Community Infrastructure,1443000.0,1172935.98,889566.0,Completed,2025-04-03,2025-06-15,INVALID_DATE,Municipal Corporation,Shree Infrastructure Pvt Ltd,13.046503,77.816203,2689.0,INVALID_DATE
MPLAD-2026-00779,Tamil Nadu,Chennai,Chennai Constituency 7,Rajesh Sharma,Renovation of Public Building,Public Facilities,3695000.0,2807103.26,4793614.99,Completed,2024-06-10,2024-08-12,2025-03-21,Urban Local Body,Greenfield Contractors,13.493813,79.909269,8033.0,EXPENDITURE_OVER_SANCTION
MPLAD-2026-00950,Telangana,Hyderabad,Hyderabad Constituency 4,Suresh Reddy,Village Community Centre,Community Infrastructure,1231000.0,1118762.63,834769.33,Completed,2024-05-16,2024-07-22,2025-01-27,District Administration,Apex Civil Works,17.637414,78.353734,4211.0,NORMAL
MPLAD-2026-00335,West Bengal,Howrah,Howrah Constituency 1,Ramesh Naidu,Solar Lighting Installation,Electricity,3760000.0,3055654.47,1435376.18,Completed,2024-12-18,2025-02-27,2025-09-18,State Water Resources Department,Reliable Infra Solutions,17.385002,78.485066,3209.0,GEOGRAPHIC_CLUSTER
MPLAD-2026-00577,Telangana,Warangal,Warangal Constituency 8,Suresh Reddy,Construction of Citizen Service Centre,Public Facilities,4287000.0,3398078.86,1559830.55,Delayed,2021-07-25,2021-08-31,2023-07-31,District Administration,Reliable Infra Solutions,17.097467,77.89131,2859.0,MAJOR_DELAY
MPLAD-2026-00935,Gujarat,Surat,Surat Constituency 7,Naveen Singh,Sports Infrastructure Improvement,Sports Infrastructure,1311000.0,1128436.81,899346.99,Completed,2023-03-02,2023-05-28,2024-01-13,Municipal Corporation,Reliable Infra Solutions,22.531565,72.386534,10606.0,NORMAL
MPLAD-2026-00568,Tamil Nadu,Salem,Salem Constituency 7,Manoj Yadav,Solar Lighting Installation,Electricity,1967000.0,1486678.19,1252792.35,Completed,2021-10-12,2021-11-15,2022-04-08,District Administration,Metro Civil Contractors,12.97283,80.704539,6347.0,NORMAL
MPLAD-2026-00595,Odisha,Puri,Puri Constituency 3,Anil Verma,Construction of Community Health Facility,Healthcare,3646000.0,2740352.11,1463894.3,Completed,2023-10-05,2023-10-20,2024-01-12,District Administration,Reliable Infra Solutions,20.543623,85.388745,8700.0,NORMAL
MPLAD-2026-00531,Odisha,Khordha,Khordha Constituency 4,Sunita Das,Construction of Public Facility,Public Facilities,1041000.0,1024391.32,553039.88,Completed,2021-02-08,2021-03-30,2021-07-20,State Water Resources Department,Reliable Infra Solutions,20.643364,84.542656,1486.0,NORMAL
MPLAD-2026-00582,Maharashtra,Nashik,Nashik Constituency 1,Rajesh Sharma,Construction of Community Health Facility,Healthcare,1857000.0,,1573120.26,Completed,2021-07-28,2021-10-19,2022-05-12,Urban Local Body,Bharat Construction Co,18.450692,72.137271,10436.0,DATA_QUALITY
